lat,long,restriction_score,neighbourhood group,host_type,id
40.64232,-73.9572,1,Brooklyn,Professional,1930857
40.77466,-73.91807,1,Queens,Individual,1931962
40.69594,-73.98375,1,Brooklyn,Individual,1934723
40.77016,-73.92316,2,Queens,Individual,1936380
40.71435,-73.95073,1,Brooklyn,Individual,1938589
40.67453,-73.96759,4,Brooklyn,Individual,1941903
40.78027,-73.90821,5,Queens,Individual,1942455
40.75612,-73.82517,1,Queens,Professional,1946321
40.73461,-74.00594,1,Manhattan,Individual,1946874
40.71606,-73.95527,4,Brooklyn,Individual,1949635
40.64047,-73.96388,3,Brooklyn,Individual,1950187
40.79767,-73.96114,1,Manhattan,Professional,1951292
40.7982,-73.97173,5,Manhattan,Individual,1952397
40.71247,-73.99873,2,Manhattan,Professional,1952949
40.68176,-73.914,4,Brooklyn,Professional,1957920
40.71818,-73.98206,2,Manhattan,Individual,1959577
40.72232,-73.99343,1,Manhattan,Individual,1964547
40.73761,-74.00043,4,Manhattan,Individual,1965100
40.72877,-73.98794,1,Manhattan,Professional,1967309
40.72381,-73.97896,2,Manhattan,Professional,1975593
40.66882,-73.98841,4,Brooklyn,Individual,1978355
40.85262,-73.93821,4,Manhattan,Professional,1983325
40.67338,-73.96415,1,Brooklyn,Individual,1983878
40.70747,-73.93879,1,Brooklyn,Individual,1989401
40.71786,-73.99518,1,Manhattan,Individual,1989953
40.83329,-73.93834,1,Manhattan,Individual,1991058
40.68216,-73.99504,1,Brooklyn,Individual,1991610
40.73842,-73.87609,1,Queens,Professional,1994371
40.70876,-73.94971,1,Brooklyn,Professional,1994924
40.83378,-73.94966,2,Manhattan,Individual,1996581
40.70947,-73.82922,1,Queens,Individual,1997133
40.73227,-74.00949,2,Manhattan,Individual,2008731
40.69764,-73.93084,2,Brooklyn,Individual,2010388
40.85604,-73.93469,1,Manhattan,Individual,2010940
40.72825,-74.00225,1,Manhattan,Individual,2012045
40.7445,-73.97583,3,Manhattan,Individual,2013150
40.82173,-73.95548,10,Manhattan,Professional,2016463
40.73131,-73.98609,1,Manhattan,Individual,2018673
40.72125,-73.99272,1,Manhattan,Individual,2024196
40.76744,-73.96118,1,Manhattan,Individual,2026405
40.68407,-73.93944,1,Brooklyn,Professional,2029719
40.68334,-73.96704,1,Brooklyn,Professional,2031376
40.83783,-73.93832,2,Manhattan,Individual,2034689
40.6763,-73.96528,2,Brooklyn,Individual,2049601
40.76074,-73.80969,1,Queens,Professional,2055677
40.8129,-73.95213,1,Manhattan,Professional,2056229
40.62961,-73.9572,3,Brooklyn,Individual,2057334
40.71312,-73.99033,1,Manhattan,Individual,2058438
40.69691,-73.96713,10,Brooklyn,Individual,2058991
40.68941,-73.95247,1,Brooklyn,Individual,2061752
40.71275,-73.98682,1,Manhattan,Individual,2062857
40.68196,-73.95168,5,Brooklyn,Individual,2065066
40.6593,-73.95686,2,Brooklyn,Professional,2067827
40.77815,-73.95902,2,Manhattan,Individual,2072798
40.71171,-73.96694,1,Brooklyn,Professional,2075560
40.72034,-73.98585,1,Manhattan,Individual,2082187
40.79279,-73.97131,1,Manhattan,Professional,2082739
40.79541,-73.94465,1,Manhattan,Professional,2088262
40.68707,-73.96571,2,Brooklyn,Individual,2089919
40.82719,-73.94484,2,Manhattan,Individual,2092129
40.70933,-73.94141,1,Brooklyn,Individual,2095442
40.82579,-73.94907,1,Manhattan,Individual,2095995
40.64534,-73.97189,1,Brooklyn,Individual,2100413
40.68598,-73.92677,1,Brooklyn,Professional,2102622
40.71518,-73.94571,1,Brooklyn,Individual,2103175
40.71335,-73.9496,1,Brooklyn,Professional,2103727
40.69982,-73.91957,1,Brooklyn,Individual,2110907
40.75374,-73.8924,1,Queens,Individual,2113116
40.73084,-74.00431,1,Manhattan,Individual,2115325
40.74207,-73.99094,1,Manhattan,Individual,2116982
40.71216,-73.96326,2,Brooklyn,Individual,2118087
40.71156,-73.8091,2,Queens,Individual,2120848
40.72784,-73.98486,2,Manhattan,Individual,2128028
40.6734,-73.97657,1,Brooklyn,Individual,2128580
40.723,-73.97861,1,Manhattan,Individual,2129685
40.66414,-73.98457,1,Brooklyn,Individual,2130790
40.72361,-73.97877,2,Manhattan,Professional,2131342
40.73356,-73.99876,1,Manhattan,Individual,2131894
